id	tahunke1	tahunke2	idx
1	2012	2016	3.18
2	2013	2016	3.60667
3	2007	2016	2.56
4	2008	2016	2.81333
5	2008	2016	2.98667
6	2008	2016	2.95333
7	2009	2016	2.96
8	2009	2016	2.68
9	2009	2016	2.67333
10	2009	2016	2.58
11	2009	2016	2.73333
12	2009	2016	2.59333
13	2009	2016	2.55333
14	2009	2016	2.50667
15	2009	2016	2.46
16	2009	2016	2.51333
17	2009	2016	2.56667
18	2009	2016	3.02
19	2009	2016	3.16667
20	2009	2016	2.56667
21	2009	2016	2.19333
22	2009	2016	2.52667
23	2009	2016	2.46667
24	2009	2016	2.66
25	2009	2016	2.69333
26	2009	2016	3.66
27	2009	2016	2.62
28	2009	2016	2.64626
29	2009	2016	2.35333
30	2009	2016	2.44667
31	2009	2016	2.58667
32	2009	2016	2.39333
33	2009	2016	2.56667
34	2009	2016	2.55333
35	2012	2016	3.04
36	2010	2016	2.52667
37	2010	2016	2.74
38	2010	2016	2.88
39	2010	2016	2.84
40	2010	2016	2.57333
41	2010	2016	2.62667
42	2010	2016	2.68667
43	2010	2016	2.98667
44	2010	2016	2.4
45	2010	2016	3.04
46	2010	2016	3.19333
47	2010	2016	2.79333
48	2010	2016	2.86667
49	2010	2016	2.59333
50	2010	2016	2.57333
51	2010	2016	2.80667
52	2010	2016	2.72667
53	2010	2016	3
54	2010	2016	3.34667
55	2010	2016	3.04
56	2010	2016	2.80667
57	2010	2016	2.8
58	2010	2016	2.4
59	2010	2016	3.12667
60	2010	2016	2.84
61	2010	2016	2.67333
62	2010	2016	2.99333
63	2010	2016	2.80667
64	2010	2016	2.88
65	2010	2016	2.76667
66	2010	2016	2.84
67	2010	2016	2.72667
68	2010	2016	2.84
69	2010	2016	2.58
70	2010	2016	3.05333
71	2010	2016	3.06
72	2010	2016	2.62
73	2010	2016	2.88
74	2010	2016	2.88
75	2012	2016	3.86
76	2010	2016	2.59333
77	2010	2016	2.79333
78	2010	2016	2.82
79	2010	2016	2.94667
80	2010	2016	3.11333
81	2010	2016	2.9
82	2010	2016	2.85333
83	2010	2016	2.63333
84	2010	2016	2.78
85	2010	2016	2.74
86	2010	2016	2.73333
87	2010	2016	2.85333
88	2010	2016	2.42667
89	2010	2016	2.78
90	2010	2016	2.87333
91	2010	2016	2.78
92	2010	2016	2.48
93	2012	2016	3.16667
94	2010	2016	3.2
95	2010	2016	2.75333
96	2010	2016	2.63333
97	2010	2016	3.25333
98	2010	2016	3.02
99	2010	2016	2.76667
100	2012	2016	3.42
101	2010	2016	2.55333
102	2010	2016	2.88667
103	2010	2016	2.86667
104	2010	2016	2.78667
105	2010	2016	2.87333
106	2010	2016	3.2
107	2010	2016	2.88
108	2010	2016	2.74667
109	2010	2016	2.66
110	2010	2016	3.23333
111	2010	2016	2.58
112	2010	2016	2.73333
113	2010	2016	2.93333
114	2010	2016	2.94667
115	2010	2016	2.88667
116	2010	2016	2.77333
117	2010	2016	3.08667
118	2010	2016	2.82667
119	2010	2016	2.78667
120	2010	2016	2.56667
121	2010	2016	2.63333
122	2010	2016	2.81333
123	2010	2016	2.64667
124	2010	2016	2.62667
125	2010	2016	3.52
126	2011	2016	3.28667
127	2011	2016	3.43333
128	2011	2016	2.99333
129	2011	2016	3.38667
130	2011	2016	3.03333
131	2011	2016	3.14667
132	2012	2016	3.49333
133	2011	2016	3.13333
134	2012	2016	3.26
135	2011	2016	3.27333
136	2011	2016	3.5
137	2011	2016	2.97333
138	2011	2016	3.68
139	2011	2016	2.92
140	2011	2016	3.46
141	2012	2016	2.96667
142	2012	2016	3.09333
143	2011	2016	3.04
144	2011	2016	3.18
145	2011	2016	3.05333
146	2011	2016	3.02
147	2011	2016	3.34667
148	2012	2016	3.06
149	2011	2016	3.30667
150	2011	2016	3.16
151	2011	2016	2.94667
152	2011	2016	3.28
153	2011	2016	3.18667
154	2011	2016	3.12
155	2011	2016	2.9
156	2011	2016	2.85333
157	2011	2016	2.85333
158	2012	2016	3.12667
159	2011	2016	2.80667
160	2011	2016	3.07333
161	2011	2016	2.87333
162	2012	2016	3.23333
163	2011	2016	3.18667
164	2011	2016	3.13333
165	2012	2016	3.65333
166	2011	2016	3.26
167	2012	2016	3.36667
168	2012	2016	3.14
169	2011	2016	3.11333
170	2011	2016	2.96667
171	2011	2016	2.74667
172	2012	2016	3.38
173	2011	2016	2.90667
174	2011	2016	2.85333
175	2012	2016	3.44667
176	2012	2016	3.19333
177	2012	2016	3.10667
178	2011	2016	3.28
179	2011	2016	2.73333
180	2011	2016	3.10667
181	2011	2016	2.52
182	2012	2016	3.3
183	2012	2016	3.32667
184	2011	2016	2.91333
185	2011	2016	3.12667
186	2011	2016	2.6
187	2012	2016	3.34
188	2011	2016	3.12
189	2012	2016	2.94
190	2011	2016	3.32
191	2011	2016	2.94
192	2011	2016	3.09333
193	2011	2016	2.8
194	2012	2016	3.18
195	2012	2016	3.28667
196	2011	2016	3.14
197	2011	2016	3.11333
198	2011	2016	2.78
199	2011	2016	3.25333
200	2011	2016	3.04
201	2011	2016	3.09333
202	2011	2016	3.00667
203	2011	2016	2.76667
204	2011	2016	2.92667
205	2011	2016	2.58
206	2011	2016	2.86667
207	2011	2016	2.72
208	2011	2016	3.02667
209	2011	2016	2.85333
210	2011	2016	3.24667
211	2011	2016	3.29333
212	2012	2016	3.24667
213	2011	2016	2.78667
214	2011	2016	3.11333
215	2011	2016	2.86
216	2011	2016	3.04667
217	2011	2016	3.26
218	2011	2016	3.2
219	2011	2016	3.28
220	2011	2016	2.99333
221	2011	2016	3.13333
222	2011	2016	3.15333
223	2011	2016	3.11333
224	2011	2016	2.95333
225	2011	2016	2.96
226	2011	2016	3.00667
227	2011	2016	3.18
228	2011	2016	3.12
